28/2/2024    14:28:43 18.06 
28/2/2024    14:28:44 18.06 
28/2/2024    14:28:45 18.00 
28/2/2024    14:28:46 18.06 
28/2/2024    14:28:47 18.00 
28/2/2024    14:28:48 18.00 
28/2/2024    14:28:50 18.06 
28/2/2024    14:28:51 18.06 
28/2/2024    14:28:52 18.00 
28/2/2024    14:28:53 18.06 

Stopped by excep
28/2/2024    14:29:21 18.00 
28/2/2024    14:29:22 18.06 
28/2/2024    14:29:23 18.06 
28/2/2024    14:29:24 18.06 
28/2/2024    14:29:25 18.06 
28/2/2024    14:29:27 18.00 
28/2/2024    14:29:28 18.06 
28/2/2024    14:29:29 18.06 
28/2/2024    14:29:30 18.06 
28/2/2024    14:29:31 18.00 
28/2/2024    14:29:32 18.12 

Stopped by excep
28/2/2024    14:44:23 12 
28/2/2024    14:44:24 18.12 
28/2/2024    14:44:25 18.12 
28/2/2024    28/2/2024    14:44:26 18.12 
28/2/2024    14:44:27 18.12 
28/2/2024    14:44:28 18.12 
28/2/2024    14:44:29 18.12 
Stopped
28/2/2024    
Stopped by excep
28/2/2024    
Stopped by excep
28/2/2024    14:56:58 19.31 
28/2/2024    14:56:59 19.37 
28/2/2024    14:57:0 19.37 
28/2/2024    14:57:1 19.37 
28/2/2024    14:57:2 19.31 
28/2/2024    14:57:3 19.31 
28/2/2024    14:57:4 19.37 
28/2/2024    14:57:5 19.31 
28/2/2024    14:57:6 19.31 
28/2/2024    14:57:7 19.31 
28/2/2024    14:57:8 19.31 
28/2/2024    14:57:9 19.31 
28/2/2024    14:57:10 19.31 
28/2/2024    14:57:12 19.25 
28/2/2024    14:57:13 19.31 
28/2/2024    14:57:14 19.31 
28/2/2024    14:57:15 19.31 
28/2/2024    14:57:16 19.31 
28/2/2024    14:57:17 19.31 
28/2/2024    14:57:18 19.31 
28/2/2024    14:57:19 19.31 
28/2/2024    14:57:20 19.31 
28/2/2024    14:57:21 19.37 
28/2/2024    14:57:22 19.31 
28/2/2024    14:57:23 19.37 
28/2/2024    14:57:25 19.37 
28/2/2024    14:57:26 19.31 
28/2/2024    14:57:27 19.31 
28/2/2024    14:57:28 19.37 
28/2/2024    14:57:29 19.37 
28/2/2024    14:57:30 19.37 
28/2/2024    14:57:31 19.37 
28/2/2024    14:57:32 19.37 
28/2/2024    14:57:33 19.37 
28/2/2024    14:57:34 19.44 
28/2/2024    14:57:36 19.37 
28/2/2024    14:57:37 19.37 
28/2/2024    14:57:38 19.37 
28/2/2024    14:57:39 19.44 
28/2/2024    14:57:40 19.37 
Stopped
28/2/2024    15:2:41 19.56 
28/2/2024    15:2:42 19.56 
28/2/2024    15:2:43 19.62 
28/2/2024    15:2:44 19.56 
28/2/2024    15:2:45 19.62 
28/2/2024    15:2:46 19.56 
28/2/2024    15:2:47 19.62 
28/2/2024    15:2:48 19.56 
28/2/2024    15:2:49 19.56 
28/2/2024    15:2:50 19.56 
28/2/2024    15:2:52 19.56 
28/2/2024    15:2:53 19.56 
28/2/2024    15:2:54 19.56 
28/2/2024    15:2:55 19.56 
28/2/2024    15:2:56 19.62 
28/2/2024    15:2:57 19.62 
28/2/2024    15:2:58 19.56 
28/2/2024    15:2:59 19.56 
28/2/2024    15:3:0 19.56 
28/2/2024    15:3:1 19.56 
28/2/2024    15:3:2 19.56 
28/2/2024    15:3:3 19.56 
28/2/2024    15:3:4 19.56 
28/2/2024    15:3:6 19.56 
28/2/2024    15:3:7 19.62 
28/2/2024    15:3:8 19.56 
28/2/2024    15:3:9 19.56 
28/2/2024    15:3:10 19.62 
28/2/2024    15:3:11 19.62 
28/2/2024    15:3:12 19.56 
28/2/2024    15:3:13 19.62 
Stopped
28/2/2024    15:5:40 19.75 
28/2/2024    15:5:41 19.75 
28/2/2024    15:5:42 19.75 
28/2/2024    15:5:43 19.75 
28/2/2024    15:5:44 19.81 
28/2/2024    15:5:45 19.75 
28/2/2024    15:5:46 19.81 
28/2/2024    15:5:47 19.81 
28/2/2024    15:5:49 19.81 
28/2/2024    15:5:50 19.81 
